title,text
Ask an adult issue,"I have been trying to sign into prime video on my account and my P.C consistently gives me an ""ask an adult"" window but gives me an error when ever i send the request, i am an adult and the only one on this account."
Ask an adult issue,"Hi, I need help. I have been trying to sign into prime video on my account and my P.C consistently gives me an ""ask an adult"" window but gives me an error when ever i  Is there a solution?"
Ask an adult issue,Need help with this
Ask an adult issue,"This is very frustrating. I have been trying to sign into prime video on my account and my P.C consistently gives me an ""ask an adult"" window but  It keeps happening and I need urgent help."
Ask an adult issue,"Ask an adult issue. I have been trying to sign into prime video on my account and my P.C consistently gives me an ""ask a"
My microphone isn't working on Edge,"I've checked all my permissions in the settings app as well as the Edge settings. Everything is as it should be. I've uninstalled and reinstalled the microphone driver. I've tried everything. My microphone works fine on the Teams, Zoom, Discord, Voice Recorder, etc. apps but the moment I try to use any of that through Edge, it stops working. I can't understand what the issue is or how to fix it."
My microphone isn't working on Edge,Please help. I've checked all my permissions in the settings app as well as the Edge settings. Everything is as it should be. I've uninstalled and reinstalled the  
My microphone isn't working on Edge,Need help with this
My microphone isn't working on Edge,This is very frustrating. I've checked all my permissions in the settings app as well as the Edge settings. Everything is as it should be. I've un It keeps happening and I need urgent help.
My microphone isn't working on Edge,My microphone isn't working on Edge. I've checked all my permissions in the settings app as well as the Edge settings. Everything is as i
Why does Microsoft Edge sometimes (randomly) partially minimizes itself?,"I still cannot figure out why does Microsoft Edge sometimes (randomly) partially minimizes itself.  I usually run about 5-10 open Edge Windows in FULL-DISPLAY-SIZE mode, and within many of them, I may have anywhere from 2 – 10 tabs.
My system is this:  Running Windows 11 Pro (16 GB) Desktop PC with two monitors in full 4K (3840 x 2160), using DisplayPort connectors with Nvidia 4070 Ti card with driver 595.79.   My Display Scale is set to 150% (recommended).    I have my “Power” setting set to the following:   Turn Off monitor after 15 minutes, Make my Device Sleep = Never and Make My Device Hibernate = Never.
Please see the next three screenshots of what happens:
1 - This is when the Edge window is randomly minimized.
 Edge Small - 1.jpg
2 - This is when I try to click the “Max the Window” and as soon as I hover my mouse hover over it, I get these different “looks” pop up.  I just ignore them and click on the Maximize and this happens:
Edge Small - 2.jpg 
3 -I then click Maximize again, and the Edge is back to full, normal size as I always want it to be.
What going on there?   I have read that some USB devices my trigger this, but I don’t plug in or take out any USB devices, and sometimes my system works perfectly for days at a time, and sometimes, these random Edge window minimizations happen 3 or 4 times per day.  Also, sometimes these issues “fix themselves” on their own without any clicking on Edge Window size manipulation.
This situation has been going on for at least 6 months, so plenty of Windows’s updates and graphic driver updates have happened over the time.  I have not changed any hardware in my PC for over a year and otherwise, my system works perfectly.
Any suggestions / feedback is much appreciated."
Why does Microsoft Edge sometimes (randomly) partially minimizes itself?,This is really frustrating. I still cannot figure out why does Microsoft Edge sometimes (randomly) partially minimizes itself.  I usually run about 5-10 open Edge Windows in FULL What should I do?
Why does Microsoft Edge sometimes (randomly) partially minimizes itself?,Need help with this
Why does Microsoft Edge sometimes (randomly) partially minimizes itself?,This is very frustrating. I still cannot figure out why does Microsoft Edge sometimes (randomly) partially minimizes itself.  I usually run about  It keeps happening and I need urgent help.
Why does Microsoft Edge sometimes (randomly) partially minimizes itself?,Why does Microsoft Edge sometimes (randomly) partially minimizes itself?. I still cannot figure out why does Microsoft Edge sometimes (randomly) partially minimizes itself.  
"On DELL Vostro 15 3510 the sound disappears periodically in windows 11. If we reinstall original dell driver the sound is back for some time, but soon disappears again.","Hi.
On our DELL Vostro 15 3510 laptops the sound worked fine in windows 10. After upgrading til windows 11 we have a periodically problem with the sound disapperaring in edge and chrome. The test sound if you turn the volume up or down in the bottom right corner at the deskop is working as normal. So there is sound in the internal speakers.
We have tried to reinstall sound driver directly from dell.com and this get the sound working for some time. But the problem soon is back. I have tried to have a look at the sound settings in control panel to see if edge is not allowed to play sound, but everything is allowed here.
What steps can we take to fix this issue?
The problem was not there in windows 10.
Best regards."
"On DELL Vostro 15 3510 the sound disappears periodically in windows 11. If we reinstall original dell driver the sound is back for some time, but soon disappears again.","I don't understand what's happening. Hi.
On our DELL Vostro 15 3510 laptops the sound worked fine in windows 10. After upgrading til windows 11 we have a periodically problem with the sou What should I do?"
